Question,Label,Tagged
How much time should Cajun Home Fries be steamed?,TIME,How much time should <name>Cajun</name> <name>Home</name> <name>Fries</name> be <method>steamed</method> ?
Any waffle recipes?,NAME,Any <type>waffle</type> recipes ?
Instruct me for baking jumpin' chickpeas.,DIR,Instruct me for <method>baking</method> <name>jumpin</name> <name>’</name> <name>chickpeas</name> .
apple brie bites recipe?,ALL,
Any good Tequila Drinks recipes?,NAME,Any good <type>Tequila</type> <type>Drinks</type> recipes ?
Any good taco recipes?,NAME,Any good <type>taco</type> recipes ?
How long do I simmer Lavender Chicken Pasta dish?,TIME,How long do I <method>simmer</method> <name>Lavender</name> <name>Chicken</name> <name>Pasta</name> dish ?
What is the best way for preparing corn?,DIR,What is the best way for preparing <ing>corn</ing> ?
Time for making lauhillau cookies,TIME,Time for making <name>lauhillau</name> <name>cookies</name>
The amount of yam to stew Shrimp Scampi is how much?,QTY,The amount of <ing>yam</ing> to <method>stew</method> <name>Shrimp</name> <name>Scampi</name> is how much ?
How long do I cook Vegan Baked Carrots dish?,TIME,How long do I cook <name>Vegan</name> <name>Baked</name> <name>Carrots</name> dish ?
Tell me something about Vanilla Frozen Yogurt?,OBJ,Tell me something about <name>Vanilla</name> <name>Frozen</name> <name>Yogurt</name> ?
Any sugar cookie recipes?,NAME,Any <type>sugar</type> <type>cookie</type> recipes ?
what is the utensil used for preparing Sugar Cookie Icing?,EQUIP,what is the utensil used for preparing <name>Sugar</name> <name>Cookie</name> <name>Icing</name> ?
What are the ingredients for making spiralized apple salad?,ING,What are the ingredients for making <name>spiralized</name> <name>apple</name> <name>salad</name> ?
How much time should I make Nigerian Suya?,TIME,How much time should I make <name>Nigerian</name> <name>Suya</name> ?
I want ingredient advice for dish Eggnog I?,ING,I want ingredient advice for dish <name>Eggnog</name> <name>I</name> ?
Any curry recipes?,NAME,Any <type>curry</type> recipes ?
How much nectar is required for Zucchini Scrambled Eggs?,QTY,How much <ing>nectar</ing> is required for <name>Zucchini</name> <name>Scrambled</name> <name>Eggs</name> ?
Ingredients to fry Honeydew Juice,ING,Ingredients to <method>fry</method> <name>Honeydew</name> <name>Juice</name>
Let me know something about shirataki-carrot curry croquettes?,OBJ,Let me know something about <name>shirataki-carrot</name> <name>curry</name> <name>croquettes</name> ?
Ingredients to prepare Homemade Enchilada Sauce,ING,Ingredients to prepare <name>Homemade</name> <name>Enchilada</name> <name>Sauce</name>
How should I prepare pear?,DIR,How should I prepare <ing>pear</ing> ?
butter mochi cupcakes recipe?,ALL,<name>butter</name> <name>mochi</name> <name>cupcakes</name> recipe ?
Best Blackberry Fool recipe?,ALL,Best <name>Blackberry</name> <name>Fool</name> recipe ?
What are some quick candy recipes?,NAME,What are some <type>quick</type> <type>candy</type> recipes ?
Old Fashion Mix?,ALL,<name>Old</name> <name>Fashion</name> <name>Mix</name> ?
what is the utensil used for stewing greek vasilopita?,EQUIP,what is the utensil used for <method>stewing</method> <name>greek</name> <name>vasilopita</name> ?
Best Philadelphia Red Cake recipe?,ALL,
What should I know about Beef Vindaloo?,OBJ,What should I know about <name>Beef</name> <name>Vindaloo</name> ?
How much time should I roast Sauceless Garden Lasagna?,TIME,How much time should I <method>roast</method> <name>Sauceless</name> <name>Garden</name> <name>Lasagna</name> ?
"How many butter, mozzarella cheeses and onions to grill Vegetarian Kale Soup?",QTY,"How many <ing>butter</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>onions</ing> to <method>grill</method> <name>Vegetarian</name> <name>Kale</name> <name>Soup</name> ?"
How long for cinnamon-sugar popcorn to prepare?,TIME,How long for <name>cinnamon-sugar</name> <name>popcorn</name> to prepare ?
Equipment list essential for grilling the apple-mango madness smoothie?,EQUIP,Equipment list essential for <method>grilling</method> the <name>apple-mango</name> <name>madness</name> <name>smoothie</name> ?
Which kitchen devices do you need to stew double chocolate pancakes?,EQUIP,Which kitchen devices do you need to <method>stew</method> <name>double</name> <name>chocolate</name> <name>pancakes</name> ?
How long does it take for making Homemade Apple Cider?,TIME,How long does it take for making <name>Homemade</name> <name>Apple</name> <name>Cider</name> ?
All information of strawberry basil milkshake dish,ALL,All information of <name>strawberry</name> <name>basil</name> <name>milkshake</name> dish
All information of Creamy Beet Greens dish,ALL,All information of <name>Creamy</name> <name>Beet</name> <name>Greens</name> dish
How do I grill Mocha Semifreddo?,DIR,How do I <method>grill</method> <name>Mocha</name> <name>Semifreddo</name> ?
What could I use on Mediterranean Seafood Medley?,ING,What could I use on <name>Mediterranean</name> <name>Seafood</name> <name>Medley</name> ?
What is Mombasa Pumpkin Dessert?,OBJ,What is <name>Mombasa</name> <name>Pumpkin</name> <name>Dessert</name> ?
What can I use to bake texas slaw?,ING,What can I use to <method>bake</method> <name>texas</name> <name>slaw</name> ?
What can I mix with flour for steaming Potato Poofies?,ING,What can I mix with <ing>flour</ing> for <method>steaming</method> <name>Potato</name> <name>Poofies</name> ?
Vegan Banana Bread recipe?,ALL,
Do you know the recipe for new york-style cheesecake?,DIR,Do you know the recipe for <name>new</name> <name>york-style</name> <name>cheesecake</name> ?
Some sauce recipes?,NAME,Some <type>sauce</type> recipes ?
Equipment list essential for making the Vegan Lettuce Wraps?,EQUIP,Equipment list essential for making the <name>Vegan</name> <name>Lettuce</name> <name>Wraps</name> ?
Help me to fry the Kentucky Beer Cheese dish,DIR,Help me to <method>fry</method> the <name>Kentucky</name> <name>Beer</name> <name>Cheese</name> dish
Best way for boiling yam?,DIR,Best way for <method>boiling</method> <ing>yam</ing> ?
Equipment list essential for stewing the Quick Tomato Sandwich?,EQUIP,Equipment list essential for <method>stewing</method> the <name>Quick</name> <name>Tomato</name> <name>Sandwich</name> ?
What is the nutritional value of dish Curry Dip?,NUT,What is the nutritional value of dish <name>Curry</name> <name>Dip</name> ?
what is in Hamburger Cheese Bake?,ING,what is in <name>Hamburger</name> <name>Cheese</name> <name>Bake</name> ?
How to grill hawaiian sandwiches?,DIR,How to <method>grill</method> <name>hawaiian</name> <name>sandwiches</name> ?
What are ingredients for the american ceviche?,ING,What are ingredients for the <name>american</name> <name>ceviche</name> ?
Poulet Parisienne - the best way to bake it?,DIR,<name>Poulet</name> <name>Parisienne</name> - the best way to <method>bake</method> it ?
"Can you give me a recipe for fried eggnog with butter, two cucumbers?",DIR,"Can you give me a recipe for <name>fried</name> <name>eggnog</name> with <ing>butter</ing> , two <ing>cucumbers</ing> ?"
What are the necessary utensils to boil the Avocado Baked Eggs dish?,EQUIP,What are the necessary utensils to <method>boil</method> the <name>Avocado</name> <name>Baked</name> <name>Eggs</name> dish ?
Do you know good Hamburger recipes to steam?,NAME,Do you know good <type>Hamburger</type> recipes to <method>steam</method> ?
Which utensils should you use when making quinoa buckwheat pancakes?,EQUIP,Which utensils should you use when making <name>quinoa</name> <name>buckwheat</name> <name>pancakes</name> ?
What’s the best way to make Fresh Strawberry Jam?,DIR,What ’ s the best way to make <name>Fresh</name> <name>Strawberry</name> <name>Jam</name> ?
What are ingredients for the Braised Black Lentils?,ING,What are ingredients for the <name>Braised</name> <name>Black</name> <name>Lentils</name> ?
what cooking utensils are used in the berry cobbler dish?,EQUIP,what cooking utensils are used in the <name>berry</name> <name>cobbler</name> dish ?
What are essential Crispy Rice Candy ingredients?,ING,What are essential <name>Crispy</name> <name>Rice</name> <name>Candy</name> ingredients ?
Which ingredients in orange bread ii dish?,ING,Which ingredients in <name>orange</name> <name>bread</name> <name>ii</name> dish ?
What the heck is italian biscotti dish?,OBJ,What the heck is <name>italian</name> <name>biscotti</name> dish ?
Time for grilling Butterfinger Popcorn Balls,TIME,Time for <method>grilling</method> <name>Butterfinger</name> <name>Popcorn</name> <name>Balls</name>
what is in lobster pasta?,ING,
What is the best way for frying watermelon?,DIR,What is the best way for <method>frying</method> <ing>watermelon</ing> ?
What could I use on Easy Mini Quiches?,ING,What could I use on <name>Easy</name> <name>Mini</name> <name>Quiches</name> ?
What are some ingredients I can use for the Rempel Family Meatloaf?,ING,What are some ingredients I can use for the <name>Rempel</name> <name>Family</name> <name>Meatloaf</name> ?
How much mustard will I need to simmer Herbed Eggplant Slices?,QTY,How much <ing>mustard</ing> will I need to <method>simmer</method> <name>Herbed</name> <name>Eggplant</name> <name>Slices</name> ?
What are the ingredients for steaming breakfast cake?,ING,What are the ingredients for <method>steaming</method> <name>breakfast</name> <name>cake</name> ?
I need 10 different recipes of Greek?,NAME,I need 10 different recipes of <type>Greek</type> ?
What the heck is dish john's chili?,OBJ,What the heck is dish <name>john</name> <name>'s</name> <name>chili</name> ?
Best italian recipes for cooking egg?,NAME,Best <type>italian</type> recipes for cooking <ing>egg</ing> ?
How do I stew grilled chicken adobo?,DIR,How do I <method>stew</method> <name>grilled</name> <name>chicken</name> <name>adobo</name> ?
What can I mix with nectar for baking Crispy Rice Candy?,ING,What can I mix with <ing>nectar</ing> for <method>baking</method> <name>Crispy</name> <name>Rice</name> <name>Candy</name> ?
"How much white rice, water do I use for Salsa I?",QTY,"How much <ing>white</ing> <ing>rice</ing> , <ing>water</ing> do I use for <name>Salsa</name> <name>I</name> ?"
What are the devices for simmering Hibachi-Style Fried Rice?,EQUIP,What are the devices for <method>simmering</method> <name>Hibachi-Style</name> <name>Fried</name> <name>Rice</name> ?
How much time to prepare Oven Baked Omelet dish?,TIME,How much time to prepare <name>Oven</name> <name>Baked</name> <name>Omelet</name> dish ?
Need some help to prepare dish Raisin Bread III?,DIR,Need some help to prepare dish <name>Raisin</name> <name>Bread</name> <name>III</name> ?
How many tablespoons of butter for simmering easy grilled vegetables?,QTY,How many tablespoons of <ing>butter</ing> for <method>simmering</method> <name>easy</name> <name>grilled</name> <name>vegetables</name> ?
What are the devices for steaming shirataki-carrot curry croquettes?,EQUIP,What are the devices for <method>steaming</method> <name>shirataki-carrot</name> <name>curry</name> <name>croquettes</name> ?
Any good Kale Soup recipes?,NAME,Any good <type>Kale</type> <type>Soup</type> recipes ?
How much cheese is required for bbq chicken?,QTY,How much <ing>cheese</ing> is required for <name>bbq</name> <name>chicken</name> ?
How do I simmer Colonial Chess Pie dish?,DIR,How do I <method>simmer</method> <name>Colonial</name> <name>Chess</name> <name>Pie</name> dish ?
What is the nutritional value of vanilla brownies?,NUT,What is the nutritional value of <name>vanilla</name> <name>brownies</name> ?
All about peach cobbler vi,ALL,All about <name>peach</name> <name>cobbler</name> <name>vi</name>
What are the required utensils for steaming vegan stuffed mushrooms?,EQUIP,What are the required utensils for <method>steaming</method> <name>vegan</name> <name>stuffed</name> <name>mushrooms</name> ?
what are the different ways to boil corn?,NAME,what are the different ways to <method>boil</method> <ing>corn</ing> ?
Give me the recipe of frying the Barbeque Halibut Steaks please!?,DIR,Give me the recipe of <method>frying</method> the <name>Barbeque</name> <name>Halibut</name> <name>Steaks</name> please ! ?
How should I stew shrimp?,DIR,How should I <method>stew</method> <ing>shrimp</ing> ?
how much sugar should be used to make Spinach Cheese Squares?,QTY,how much <ing>sugar</ing> should be used to make <name>Spinach</name> <name>Cheese</name> <name>Squares</name> ?
How many cups of olive oil need to prepare Creamy Blueberry-Chia Pudding?,QTY,How many cups of <ing>olive</ing> <ing>oil</ing> need to prepare <name>Creamy</name> <name>Blueberry-Chia</name> <name>Pudding</name> ?
Can you give me a recipe for mint julep cocktail with 2 shallots and one watermelon?,DIR,Can you give me a recipe for <name>mint</name> <name>julep</name> <name>cocktail</name> with 2 <ing>shallots</ing> and one <ing>watermelon</ing> ?
What are the main ingredients of the Spicy Meatless Meatballs?,ING,What are the main ingredients of the <name>Spicy</name> <name>Meatless</name> <name>Meatballs</name> ?
Which ingredients help make the perfect Bagel French Toast?,ING,Which ingredients help make the perfect <name>Bagel</name> <name>French</name> <name>Toast</name> ?
Can you give me a recipe for dish Spinach Kugel with cucumber?,DIR,Can you give me a recipe for dish <name>Spinach</name> <name>Kugel</name> with <ing>cucumber</ing> ?
Can you give me a recipe for minestrone soup ii with clove?,DIR,Can you give me a recipe for <name>minestrone</name> <name>soup</name> <name>ii</name> with <ing>clove</ing> ?
Which utensils should you use when making grilled marinated salmon?,EQUIP,Which utensils should you use when making <name>grilled</name> <name>marinated</name> <name>salmon</name> ?
How do I boil Nectar Kake from mozzarella cheese?,DIR,How do I <method>boil</method> <name>Nectar</name> <name>Kake</name> from <ing>mozzarella</ing> <ing>cheese</ing> ?
Which kitchen devices do you need to steam Potatoes Anna dish?,EQUIP,Which kitchen devices do you need to <method>steam</method> <name>Potatoes</name> <name>Anna</name> dish ?
what is the utensil used for grilling Midwest Salisbury Steak?,EQUIP,what is the utensil used for <method>grilling</method> <name>Midwest</name> <name>Salisbury</name> <name>Steak</name> ?
Nutrition info of Curry Udon dish?,NUT,Nutrition info of <name>Curry</name> <name>Udon</name> dish ?
Can you give me a recipe for QOB Veggie Enchiladas with yam?,DIR,Can you give me a recipe for <name>QOB</name> <name>Veggie</name> <name>Enchiladas</name> with <ing>yam</ing> ?
Apple Cheese Danish?,ALL,<name>Apple</name> <name>Cheese</name> <name>Danish</name> ?
masala cabbage soup recipe?,ALL,<name>masala</name> <name>cabbage</name> <name>soup</name> recipe ?
How long for preparing pizza crust i?,TIME,How long for preparing <name>pizza</name> <name>crust</name> <name>i</name> ?
"What are good Tequila Drinks dishes with butter, mozzarella cheeses and onions?",NAME,"What are good <type>Tequila</type> <type>Drinks</type> dishes with <ing>butter</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>onions</ing> ?"
Time for preparing Basic Babka,TIME,Time for preparing <name>Basic</name> <name>Babka</name>
Which utensils is required for Vegetarian Tourtiere dish?,EQUIP,Which utensils is required for <name>Vegetarian</name> <name>Tourtiere</name> dish ?
How much salt do I use for cheesy chicken meatballs?,QTY,How much <ing>salt</ing> do I use for <name>cheesy</name> <name>chicken</name> <name>meatballs</name> ?
Please give me nutrition value of dish sesame date rolls?,NUT,Please give me nutrition value of dish <name>sesame</name> <name>date</name> <name>rolls</name> ?
What are the main ingredients of the No-Bake Strawberry Shortcake?,ING,What are the main ingredients of the <name>No-Bake</name> <name>Strawberry</name> <name>Shortcake</name> ?
Do you know the recipe for Maple-Poppy Seed Dressing?,DIR,Do you know the recipe for <name>Maple-Poppy</name> <name>Seed</name> <name>Dressing</name> ?
Help to cook No-Bake Strawberry Shortcake - What should I do?,DIR,Help to cook <name>No-Bake</name> <name>Strawberry</name> <name>Shortcake</name> - What should I do ?
How long for deviled egg dish dip to simmer?,TIME,How long for <name>deviled</name> <name>egg</name> dish to <method>simmer</method> ?
What nutritional value do Spicy Peach Chicken have?,NUT,What nutritional value do <name>Spicy</name> <name>Peach</name> <name>Chicken</name> have ?
what are the different ways to steam turkey?,NAME,what are the different ways to <method>steam</method> <ing>turkey</ing> ?
Do you know the recipe for Watermelon Avocado Salsa dish?,DIR,Do you know the recipe for <name>Watermelon</name> <name>Avocado</name> <name>Salsa</name> dish ?
Brown-Eyed Susans II recipe?,ALL,<name>Brown-Eyed</name> <name>Susans</name> <name>II</name> recipe ?
Help me to boil the mint julep cocktail dish.,DIR,Help me to <method>boil</method> the <name>mint</name> <name>julep</name> <name>cocktail</name> dish .
How long to steam Poppy Seed Muffins?,TIME,How long to <method>steam</method> <name>Poppy</name> <name>Seed</name> <name>Muffins</name> ?
How many tablespoons of olive oil for cooking Vanilla Custard Pie?,QTY,How many tablespoons of <ing>olive</ing> <ing>oil</ing> for cooking <name>Vanilla</name> <name>Custard</name> <name>Pie</name> ?
Give me the recipe of stewing the Green Tomato Relish please!?,DIR,Give me the recipe of <method>stewing</method> the <name>Green</name> <name>Tomato</name> <name>Relish</name> please ! ?
How long does it take to prepare dish peach wrinkle?,TIME,How long does it take to prepare dish <name>peach</name> <name>wrinkle</name> ?
What are the basic ingredients in making Easy Garden Meatloaf?,ING,What are the basic ingredients in making <name>Easy</name> <name>Garden</name> <name>Meatloaf</name> ?
How much milk will I need to grill dish crème brulee i?,QTY,How much <ing>milk</ing> will I need to <method>grill</method> dish <name>crème</name> <name>brulee</name> <name>i</name> ?
All information of bopis dish,ALL,All information of <name>bopis</name> dish
Utensils for making Balsamic Rhubarb Compote?,EQUIP,Utensils for making <name>Balsamic</name> <name>Rhubarb</name> <name>Compote</name> ?
What could I use on spruced-up zatarain's® jambalaya?,ING,What could I use on <name>spruced-up</name> <name>zatarain's®</name> <name>jambalaya</name> ?
Best way for steaming pea?,DIR,Best way for <method>steaming</method> <ing>pea</ing> ?
Quantity of shrimp to make scotcharoos dish?,QTY,Quantity of <ing>shrimp</ing> to make <ing>scotcharoos</ing> dish ?
How many cups of powder need to make donut trifle?,QTY,How many cups of <ing>powder</ing> need to make <name>donut</name> <name>trifle</name> ?
How long for frying shrimp tempura?,TIME,How long for <method>frying</method> <name>shrimp</name> <name>tempura</name> ?
Guide me to cook Savory Pumpkin Cornbread.,DIR,Guide me to cook <name>Savory</name> <name>Pumpkin</name> <name>Cornbread</name> .
How should I make nectar and milk?,DIR,How should I make <ing>nectar</ing> and <ing>milk</ing> ?
Time for baking hearty tartar sauce,TIME,Time for <method>baking</method> <name>hearty</name> <name>tartar</name> <name>sauce</name>
"How do I prepare coffee cake muffins from sugar, flour?",DIR,"How do I prepare <name>coffee</name> <name>cake</name> <name>muffins</name> from <ing>sugar</ing> , <ing>flour</ing> ?"
How long does it take for boiling maple cookies?,TIME,How long does it take for <method>boiling</method> <name>maple</name> <name>cookies</name> ?
How much time should Homemade Apple Cider be grilled?,TIME,How much time should <name>Homemade</name> <name>Apple</name> <name>Cider</name> be <method>grilled</method> ?
Best Apricot Glazed Chicken recipe?,ALL,Best <name>Apricot</name> <name>Glazed</name> <name>Chicken</name> recipe ?
All information of mediterranean lentil salad dish,ALL,All information of <name>mediterranean</name> <name>lentil</name> <name>salad</name> dish
What are some quick Rice Pudding recipes?,NAME,What are some <type>quick</type> <type>Rice</type> <type>Pudding</type> recipes ?
How do I steam Vegan Lettuce Wraps?,DIR,How do I <method>steam</method> <name>Vegan</name> <name>Lettuce</name> <name>Wraps</name> ?
Utensils for preparing Homemade Garlic Knots?,EQUIP,Utensils for preparing <name>Homemade</name> <name>Garlic</name> <name>Knots</name> ?
What are some good dishes that I can grill with butters and lemon??,NAME,What are some good dishes that I can <method>grill</method> with <ing>butters</ing> and <ing>lemon</ing> ? ?
How much white rice will I need to bake Blueberry Peach Muffins?,QTY,How much <ing>white</ing> <ing>rice</ing> will I need to <method>bake</method> <name>Blueberry</name> <name>Peach</name> <name>Muffins</name> ?
how much mustard should be used in cooking Tofu Noodle Soup??,QTY,how much <ing>mustard</ing> should be used in cooking <name>Tofu</name> <name>Noodle</name> <name>Soup</name> ? ?
Ingredients to simmer polished eggs dish,ING,Ingredients to <method>simmer</method> <name>polished</name> <name>eggs</name> dish
ingredients for Steamed Black Bread?,ING,ingredients for <name>Steamed</name> <name>Black</name> <name>Bread</name> ?
Best french recipes for steaming chicken breast?,NAME,Best <type>french</type> recipes for <method>steaming</method> <ing>chicken</ing> <ing>breast</ing> ?
List of Equip. Needed for baking the grilled marinated salmon?,EQUIP,List of Equip . Needed for <method>baking<method> the <name>grilled</name> <name>marinated</name> <name>salmon</name> ?
Give me the recipe of grilling the Basic Potato Soup please!?,DIR,Give me the recipe of <method>grilling</method> the <name>Basic</name> <name>Potato</name> <name>Soup</name> please ! ?
Best turkey delight recipe?,ALL,Best <name>turkey</name> <name>delight</name> recipe ?
"I have sugar, olive oil, how should I make it?",DIR,"I have <ing>sugar</ing> , <ing>olive</ing> <ing>oil</ing> , how should I make it ?"
What can I use to prepare mexican bride cookies dish?,ING,What can I use to prepare <name>mexican</name> <name>bride</name> <name>cookies</name> dish ?
Do you know how long it takes Cinnamon Vinaigrette to simmer?,TIME,Do you know how long it takes <name>Cinnamon</name> <name>Vinaigrette</name> to <method>simmer</method> ?
Hot Chocolate recipes using peanuts and broccoli?,NAME,<type>Hot</type> <type>Chocolate</type> recipes using <ing>peanuts</ing> and <ing>broccoli</ing> ?
Can you give me a recipe for Skinny Meatloaf with corn?,DIR,Can you give me a recipe for <name>Skinny</name> <name>Meatloaf</name> with <ing>corn</ing> ?
The amount of chicken breast to boil dish Spring Salad is how much?,QTY,The amount of <ing>chicken</ing> <ing>breast</ing> to <method>boil</method> dish <name>Spring</name> <name>Salad</name> is how much ?
"Guide me to bake dishes Mississippi Mud Cookies, Berry Cordial.",DIR,"Guide me to <method>bake</method> dishes <name>Mississippi</name> <name>Mud</name> <name>Cookies</name> , <name>Berry</name> <name>Cordial</name> ."
Any good recipes for cooking peanut?,NAME,Any good recipes for cooking <ing>peanut</ing> ?
How should I bake avocado?,DIR,How should I <method>bake</method> <ing>avocado</ing> ?
Some Main Dish recipes?,NAME,Some <type>Main</type> <type>Dish</type> recipes ?
american ceviche?,ALL,<name>american</name> <name>ceviche</name> ?
Which recipes for simmering yam?,NAME,Which recipes for <method>simmering</method> <ing>yam</ing> ?
what are  interesting Banana Pancake recipes to try ?,NAME,what are interesting <type>Banana</type> <type>Pancake</type> recipes to try ?
What are the basic ingredients in roasting Watermelon Mojito Granita?,ING,What are the basic ingredients in <method>roasting</method> <name>Watermelon</name> <name>Mojito</name> <name>Granita</name> ?
All information of brazilian carrot cake dish,ALL,
what is in Spaghetti Salad I?,ING,
Which utensils is required for freekeh eggplant stew?,EQUIP,Which utensils is required for <name>freekeh</name> <name>eggplant</name> <name>stew</name> ?
Utensils to steam shamrock shakes?,EQUIP,Utensils to <method>steam</method> <name>shamrock</name> <name>shakes</name> ?
"How many butters, pears to cook shamrock shakes?",QTY,"How many <ing>butters</ing> , <ing>pears</ing> to cook <name>shamrock</name> <name>shakes</name> ?"
Need some help to steam crispy indian okra?,DIR,Need some help to <method>steam</method> <name>crispy</name> <name>indian</name> <name>okra</name> ?
The amount of medium carrot to bake Eggnog Rum Muffins is how much?,QTY,The amount of <ing>medium</ing> <ing>carrot</ing> to <method>bake</method> <name>Eggnog</name> <name>Rum</name> <name>Muffins</name> is how much ?
cranberry salad v?,ALL,<name>cranberry</name> <name>salad</name> <name>v</name> ?
"Healthy butter, mozzarella cheeses and onions recipes for holiday?",NAME,"<type>Healthy</type> <ing>butter</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>onions</ing> recipes for <type>holiday</type> ?"
what cooking utensils are used in the coffee jelly dish?,EQUIP,what cooking utensils are used in the <name>coffee</name> <name>jelly</name> dish ?
how much salt should be used to grill Halloween Brain Dip dish?,QTY,how much <ing>salt</ing> should be used to <method>grill</method> <name>Halloween</name> <name>Brain</name> <name>Dip</name> dish ?
what are the different ways to stew peanut?,NAME,what are the different ways to <method>stew</method> <ing>peanut</ing> ?
turkey delight recipe?,ALL,<name>turkey</name> <name>delight</name> recipe ?
ingredients for Megan's Granola dish?,ING,ingredients for <name>Megan</name> <name>'s</name> <name>Granola</name> dish ?
Which ingredients help make the perfect Bacon Feta Beans?,ING,Which ingredients help make the perfect <name>Bacon</name> <name>Feta</name> <name>Beans</name> ?
Vanilla Syrup Substitute recipe?,ALL,<name>Vanilla</name> <name>Syrup</name> <name>Substitute</name> recipe ?
Help me to prepare the Berry Cordial,DIR,Help me to prepare the <name>Berry</name> <name>Cordial</name>
"I have cucumber, how should I grill it?",DIR,"I have <ing>cucumber</ing> , how should I <method>grill</method> it ?"
"What can I mix with sugar, olive oil to roast Chicken-Bacon-Ranch Pasta Bake?",ING,"What can I mix with <ing>sugar</ing> , <ing>olive</ing> <ing>oil</ing> to <method>roast</method> <name>Chicken-Bacon-Ranch</name> <name>Pasta</name> <name>Bake</name> ?"
How much time should Minions Marshmallow Pops be boiled?,TIME,How much time should <name>Minions</name> <name>Marshmallow</name> <name>Pops</name> be <method>boiled</method> ?
Utensils for simmering Spicy Steak Fries?,EQUIP,Utensils for <method>simmering</method> <name>Spicy</name> <name>Steak</name> <name>Fries</name> ?
Quantity of broccoli to steam Java Chocolaty Cookies?,QTY,Quantity of <ing>broccoli</ing> to <method>steam</method> <name>Java</name> <name>Chocolaty</name> <name>Cookies</name> ?
What are some quick Tequila Drinks recipes?,NAME,What are some <type>quick</type> <type>Tequila</type> <type>Drinks</type> recipes ?
Best Banana Coffee Creamer recipe?,ALL,
What are the basic ingredients in stewing gluten-free buckwheat crepes?,ING,What are the basic ingredients in <method>stewing</method> <name>gluten-free</name> <name>buckwheat</name> <name>crepes</name> ?
Can you give me a recipe for easy sweet chili with broccoli?,DIR,Can you give me a recipe for <name>easy</name> <name>sweet</name> <name>chili</name> with <ing>broccoli</ing> ?
Help to stew apple-cinnamon sangria - What should I do?,DIR,Help to <method>stew</method> <name>apple-cinnamon</name> <name>sangria</name> - What should I do ?
What are some quick vegetarian recipes?,NAME,What are some <type>quick</type> <type>vegetarian</type> recipes ?
Give me the recipe of simmering the Spinach Mozzarella Meatloaf please!?,DIR,Give me the recipe of <method>simmering</method> the <name>Spinach</name> <name>Mozzarella</name> <name>Meatloaf</name> please ! ?
what are  interesting Thai recipes to try ?,NAME,what are interesting <type>Thai</type> recipes to try ?
What are essential Deer Chop Hurry ingredients?,ING,What are essential <name>Deer</name> <name>Chop</name> <name>Hurry</name> ingredients ?
How long to prepare mango spring roll?,TIME,How long to prepare <name>mango</name> <name>spring</name> <name>roll</name> ?
All about poppy seed salad,ALL,All about <name>poppy</name> <name>seed</name> <name>salad</name>
Easy broccoli recipes for christmas?,NAME,<type>Easy</type> <ing>broccoli</ing> recipes for <type>christmas</type> ?
How many packs of cheese need to make Huevos Diablos dish?,QTY,How many packs of <ing>cheese</ing> need to make <name>Huevos</name> <name>Diablos</name> dish ?
What are the ingredients for preparing Texas Tea II?,ING,What are the ingredients for preparing <name>Texas</name> <name>Tea</name> <name>II</name> ?
I need 10 different recipes of Chicken?,NAME,I need 10 different recipes of <type>Chicken</type> ?
How much time to steam Lemon Lime Float dish?,TIME,How much time to <method>steam</method> <name>Lemon</name> <name>Lime</name> <name>Float</name> dish ?
Tell me something about indian-style salmon fry?,OBJ,Tell me something about <name>indian-style</name> <name>salmon</name> <name>fry</name> ?
How to make dish garden penne?,DIR,How to make dish <name>garden</name> <name>penne</name> ?
Fish Tacos Ultimo?,ALL,<name>Fish</name> <name>Tacos</name> <name>Ultimo</name> ?
what is in Almond Carrots?,ING,
The amount of flour to simmer dish chicken miso soup is how much?,QTY,The amount of <ing>flour</ing> to <method>simmer</method> dish <name>chicken</name> <name>miso</name> <name>soup</name> is how much ?
what is in Yummy Chicken?,ING,
what are the different ways to grill pea?,NAME,what are the different ways to <method>grill</method> <ing>pea</ing> ?
What is the nutritional value of Nacho Pie dish?,NUT,What is the nutritional value of <name>Nacho</name> <name>Pie</name> dish ?
"I have some leeks, what are good recipes to fry with it?",NAME,"I have some <ing>leeks</ing> , what are good recipes to <method>fry</method> with it ?"
How long to stew Basic Babka?,TIME,How long to <method>stew</method> <name>Basic</name> <name>Babka</name> ?
What can I use to fry dish russian kulich?,ING,What can I use to <method>fry</method> dish <name>russian</name> <name>kulich</name> ?
How long do I prepare creamy onion soup dish?,TIME,How long do I prepare <name>creamy</name> <name>onion</name> <name>soup</name> dish ?
Which utensils should you use when making Blackberry Fool dish?,EQUIP,Which utensils should you use when making <name>Blackberry</name> <name>Fool</name> dish ?
What are the main ingredients of the Savory Herb Waffles?,ING,What are the main ingredients of the <name>Savory</name> <name>Herb</name> <name>Waffles</name> ?
How many peanuts do I need for paralyzers dish?,QTY,How many <ing>peanuts</ing> do I need for <name>paralyzers</name> dish ?
Which utensils should you use when making lebanese radish salad?,EQUIP,Which utensils should you use when making <name>lebanese</name> <name>radish</name> <name>salad</name> ?
Ingredients to boil No-Bake Strawberry Shortcake dish,ING,Ingredients to <method>boil</method> <name>No-Bake</name> <name>Strawberry</name> <name>Shortcake</name> dish
